Name,Ort,Standort des Lagers,Betreiber,Dauer des Bestehens,Häftlingsbelegung,Unterbringung,Art der Arbeiten,Todesopfer,Rücküberstellungen,Fluchten,Zugänge aus anderen Lagern,Evakuierung,Juristische Aufarbeitung,Besonderheiten der Evakuierung,Besonderheiten des Lagers,Ende der Evakuierung,Quellen,Todesopfer/Vorkommnisse,Verlauf/Orte,Verlauf/Orte/Todesopfer,Rückstellungen,Orte,Besonderheiten,Standort,Überstellungen,Zugänge aus anderen Lager,Auflösung,Transport,Weiterer Arbeitseinsatz,Bestehen des Lagers,Betrieb des Rüstungskonzerns
Außenlager KZ Buchenwald,Taucha – Frauenlager (87.1).,"Taucha, Freiherr-von-Stein-Straße (heute Matthias-Erzberger- Straße).","HASAG, Werk II Taucha.",7. September 1944 bis 13./14. April 1945.,"Insgesamt mindestens 1.352 Frauen aus 17 europäischen und einer nichteuropäischen Nationen, überwiegend politische Häftlinge, Sinti- und Roma-Frauen und Jüdinnen.",Barackenlager.,Munitionsproduktion und Abfüllen von Abschussrohren für Panzerfäuste.,"Fünf, Verbleib unbekannt.","161 nach Auschwitz, 147 nach Bergen-Belsen und 76 nach Ravensbrück.","Neun, Ergebnis nicht bekannt.",,Siehe Männerlager HASAG Taucha.,,,"Im Februar/März 1945 ließ der Kommandant der KZ-Außenlager bei der HASAG, Plaul, 100 Frauen von Leipzig nach Taucha versetzten, wahrscheinlich, weil er Widerstand bei einer Räumung erwartete. Die HASAG betrieb in Taucha zwei getrennte Werke, Werk I, Weststraße, und Werk II, Graßdorfer Straße. Häftlinge wurden in beiden Werken eingesetzt. Der Arbeitseinsatz der Häftlinge des AL unterstand dem Betriebsdirektor des Werkes II Taucha.",,,,,,,,,,,,,,,,
Außenlager KZ Buchenwald,Taucha – Männerlager (87.2).,"Taucha, Freiherr-von-Stein-Straße (heute Matthias-Erzberger- Straße).","HASAG, Werk II Taucha.",10. Oktober 1944 bis 13./14. April 1945.,"466 Männer; polnische und ungarische Juden sowie politische Häftlinge aus Deutschland, Polen und Tschechien.",Barackenlager.,"Transportarbeiten, sonst unbekannt.",Keine.,Keine.,Keine.,Keine.,Am 13/14. April 1945 erfolgten die Auflösung des Männer- und Frauenlagers und der Anschluss der meisten Häftlinge an die Evakuierungskolonnen aus Leipzig. Etwa 80 KZ-Häftlinge beiderlei Geschlechts blieben im Lager zurück und wurden am 19./20. April von amerikanischen Truppen befreit.,Das 1966 eingeleitete Voruntersuchungsverfahren der Zentralen Stelle in Ludwigsburg wurde 1974 an die Zentralstelle Köln weitergeleitet und dort 1975 eingestellt.,,Vom 25. Oktober 1944 bis in den November 1944 waren 500 dänische Polizeihäftlinge aus dem KZ Buchenwald im AL unter gebracht. Sie mussten bei Taucha einen Bahndamm bauen. Der Arbeitseinsatz erfolgte wahrscheinlich nicht für die HASAG. Einer dieser Häftlinge verstarb.,Siehe Evakuierung Erla-Werke Leipzig.,,Vier männlichen Todesopfer aus Taucha in Dörschnitz und ein Todesfall in Wurzen sind nachgewiesen.,Siehe Evakuierung Erla-Werke Leipzig.,,,,,,,,,,,,
Außenlager KZ Buchenwald,Torgau (88).,Waldgelände nordwestlich von Torgau.,Heeresmunitionsanstalt Torgau.,Erstens: 4. September 1944 bis 5. Oktober 1944 und zweitens: 18. November 1944 bis Ende April 1945.,"Erstens: Belegung mit 500 Frauen, Französinnen und einzelne Frauen aus neun anderen Nationen beziehungsweise Staatenlose; Zweitens: Belegung mit 250 ungarischen Jüdinnen.","Barackenlager, circa 15–20 Minuten von der Arbeitsstelle entfernt.",Abfüllen von Sprengladungen und Reinigung von Blindgängern.,Zwei Französinnen.,"Rücküberstellung von 242 Frauen nach Ravensbrück, während die anderen Frauen dieser Gruppe in das Außenlager Abterode bei Eisenach überstellt wurden.","Acht Fluchten (Französinnen), teilweise später wieder ergriffen.",,Das Lager wurde nicht evakuiert. Die Wachmannschaften setzten sich ab. Amerikanische Truppen besetzten am 26. April 1945 einen Korridor zwischen Mulde und Elbe und befreiten damit die Frauen. Der im Lager verbliebene Kommandant wurde festge- nommen.,Bei den 1966 eingeleiteten Ermittlungen der Zentralen Stelle der Landesjustizverwaltungen in Ludwigsburg wurden keine Anhalts- punkte für Tötungsverbrechen festgestellt.,,Die erste Lagerbelegung (Französinnen) wurde vom Arbeitsein satz wegen des Verdachts der kollektiven Sabotage abgelöst.,,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Venusberg (90).,"Spinnerei Gebr. Schüller, Venusberg, OT Spinnerei.","Junkers Flugzeug- und Motorenwerke AG Dessau, Zweigwerk Kassel, (Tarnnamen „Venuswerke AG“).",15. Januar 1945 bis 15. April 1945.,15. Januar 1945: Transport vom KZ Ravensbrück 500; 28. Februar 1945: Transport vom KZ Bergen-Belsen 500; Insgesamt: 1.000 jüdische Frauen und Mädchen.,"Barackenlager, circa einen Kilometer vom Produktionsstandort.520 KZ-Außenlager in Sachsen","Bearbeitung von Metallteilen mit Bohr-‚ Dreh-, Fräsmaschinen, Stanz- und Montagearbeiten‚ teilweise in Mehrmaschinenbedie- nung‚ zunächst in 12-Stunden-Schicht‚ nach Ankunft des Bergen- Belsen-Transports im Drei-Schicht-System zu je acht Stunden.","47 namentlich bekannte Opfer, insgesamt aber über 100, trotz der kurzen Zeit der Lagerexistenz infolge des eingeschleppten Typhus, keine Tötungen. Letzte Sterbemeldung (laut SS-Akten) 7. April 1945: acht Personen. Die tatsächlichen Sterbedaten liegen noch Tage früher als die Registrierung im KZ Flossenbürg.",,,,"Widersprüchliche Angaben: 13., 14. oder 15. April 1945: Klein- bahntransport nach Wilischthal‚ Umladung auf Normalspur, weiter Bahntransport bis Mauthausen über Annaberg – Komotau (Chomutov) – Falkenau (Sokolov) – Pladen (Blatno u Jesenice) bis Ober Birken (Horní Bríza). Zwischen Annaberg und Pladen erfolgte die Vereinigung mit dem Transport des Buchenwald- Außenlagers Flößberg (28) und in Ober Birken mit dem Trans- port aus Freiberg (29).","Keine Bestrafung der verantwortlichen Lagerführer. Ermittlungen der Zentralstelle Ludwigsburg und der Staatsan- waltschaft Nürnberg-Fürth wurden am 21. April 1972 ergebnislos eingestellt. An der Stelle der Massengräber wurde schon 1945 ein kleines Grabdenkmal (mit christlichem Grabkreuz) errichtet‚ 1947 ein großes Denkmal aus Bruchsteinmauerwerk mit Mittelstele geschaffen, das 2010 mit Namenstafeln neu gestaltet wurde.",,,28./29. April 1945.,,,,,,,,,,,,,,,
Außenlager KZ Groß-Rosen,Weißwasser/Oberlausitz (91).,Barackenlager Kromlauer Weg 16.,Philips/Valvo-Röhrenwerke (Bären- und Luisenhütte Weiß wasser).,Juni 1944 bis Februar 1945.,300 ungarische Jüdinnen.,Drei Baracken und Waschgebäude mit Stacheldraht umzäunt. Verzeichnis der KZ-Außenlager 521,"Feinmechanisch-optische Teilefertigung, teils schwere körper liche und gesundheitsgefährdende Arbeiten.",Vier.FluchtenBesonderheiten des Lagers,,,,28. Februar 1945 auf den Todesmarsch nach dem Außenlager Horneburg des KZ Neuengamme geschickt.,,"60 Frauen wurden von Horneburg nach Beendorf gefahren. Sie sollten in der dortigen unterirdischen Fabrik zum Einsatz kommen. Diese Anlage war aber bei Ankunft der Frauen nicht mehr funktionsfähig, und man fuhr sie weiter nach Norden. Am 1. Mai übergab die SS diese Frauen an das Schwedische Rote Kreuz. Man fuhr sie weiter in Viehwagen nach Dänemark, wo ihnen geholfen wurde. Diese Rettungsaktion des Roten Kreuzes ist als „Forke-Bernadotte-Aktion“ in die Befreiungsgeschichte eingegangen.Juristische Aufarbeitung",,,,,"Marsch von Weißwasser nach Senftenberg, Bahnfahrt bis Horneburg, Arbeiten in einem Philips/Valvo-Röhrenwerke- Betrieb. Am 30. März wurden 236 Frauen nach Bergen-Belsen ins dortige KZ gebracht und erlebten am 15. April die Befreiung durch britische Truppen.Todesopfer/Vorkommnisse",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Wilischthal (93).,"Fabrikgebäude der stillgelegten Textilfabrik MAFRASA (Marschel‚ Frank und Sachs, jüdisches Unternehmen, nach 1933 arisiert), Nähe Bahnhof Wilischthal.","Firma Deutsche Kühl- und Kraftmaschinen GmbH (DKK), zu 100% eine Tochtergesellschaft der Auto Union AG. Für die Werke der DKK in Wilischthal und Oederan wurden Tochtergesellschaften gegründet, speziell für die Rüstungspro- duktion‚ die ab Oktober 1944 auf Weisung von Albert Speer den Tarnnamen „Agricola GmbH“ trugen.",30. Oktober 1944 bis 14. April 1945.,300 Jüdinnen vom KZ Auschwitz-Birkenau.,Baracken mit Waschanlagen im Fabrikgelände.,"Bearbeitung von Metallteilen, Bohren, Fräsen, Schleifen, Drehen für das Maschinengewehr 151 beziehungsweise die Maschinen- kanone für Flugzeuge.522 KZ-Außenlager in Sachsen",Eines.,Keine.,Eine erfolglos.,,Am 14. April 1945 Fußmarsch nach Zschopau und Übernachtung im Lager DKW-Werk‚ am 15. April 1945 Rückmarsch nach Wilischthal und ab dort Bahntransport nach Leitmeritz sowie Fußmarsch nach Theresienstadt.,"1979/80 wurde ein Verfahren zur Ermittlung der Lagerführerin Helene Schwarz, geborene Klofik, vor dem LG Marburg aufgenom- men und ohne Ergebnis wieder eingestellt.",,,,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Wolkenburg (95).,"Wolkenburg, Gebäude in der Leipziger Bauwollspinnerei, Herrensdorfer Str.",Opta Radio Berlin GmbH.,22. August 1944 bis 13. April 1945.,399 Frauen aus verschiedenen Ländern – viele Sinti und Roma. Es wurde auch „Zigeunerlager“ genannt.,4. OG des unteren Hochbaus im Werksgelände.,Herstellung von Radargeräten und Funkgeräten sowie elektri- scher Einrichtungen und Steuerungsteilen für die Luftrüstung.,Mindesten sieben Frauen starben. Die Namen sind im Standesamt verzeichnet. Beerdigt wurden sie auf dem Friedhof der Kirchen- gemeinde Wolkenburg.,Im Dezember 1944 sechs und im Januar 19 nach Ravensbrück (kranke und schwangere Frauen).,Zwei erfolglos.,,Am 13. April für 372 Frauen in Richtung Flossenbürg.,"Kommandoführer Brusch wurde im Dachauer Flossenbürg-Pro- zess zum Tode verurteilt, später zu 15 Jahren begnadigt. Er kam 1954 wieder frei. Zwei SS-Leute verurteilte ein polnisches Gericht; sie waren bis 1957 in Haft.","In Weiden wurde der Zug bombardiert, und einige Frauen konnten flüchten. Bei Irrenlohe gab es einen Tieffliegerangriff und infolgedessen weitere Fluchten.","Nach Häftlingsberichten herrschte im AL ein unmenschlich hartes System. Bei kleinsten Vergehen gab es strengste Strafen, auch Prügelstrafen.",3. Mai 1945.,,In Irrenlohe wurden fünf Frauen von dem von SS-Hauptsturmfüh- rer Schippel gebildeten Standgericht exekutiert.,"Fußmarsch Wolkenburg – Herrnsdorf – Uhlsdorf – Rüßdorf – Bernsdorf – Hohndorf – Stollberg, Übernachtung im Gefängnis Hoheneck. Verzeichnis der KZ-Außenlager 523 14. April 1945: Stollberg – Zwönitz – Grünhain – Beierfeld – Schwarzenberg, in Schwarzenberg Bahnverladung – Johanngeor- genstadt, Übernachtung in einem Fabrikgebäude, vermutlich das Außenlager. 15. April 1945: Bahnfahrt nach Karlsbad, Bombardierung des Bahnhofs am 16. April 1945, Weiterfahrt nach Waldsassen. 17. April 1945: Weiterfahrt nach Neustadt – Weiden. Das KZ Flossenbürg verweigerte die Aufnahme. Auf Befehl des Lager- kommandanten fuhr der Zug nach Süden über Irrenlohe und Regensburg. 116 Frauen kamen in Dachau an.",,,,,,,,,,,,
Außenlager KZ Groß-Rosen,Zittau (96).,"Stadt Zittau, Gemarkung Großporitsch und Gemeinde Klein schönau (Sieniawka).","Zitt-Werke – Tarnfirma der Fa. Junkers Flugzeug- und Motoren- werke AG Dessau in „Gebr. Morus AG“ Zittau, OT Kleinschönau, Hedwigsdorfer Str. 4b",28. Oktober 1944 bis 8. Mai 1945. Die Kriegsproduktion in den Zitt-Werken wurde Ende März 1945 eingestellt. Das Lager bestand weiter.,"Etwa 800, meist ungarische Jüdinnen. Ab Ende Januar 1945 circa 250 Männer aus Buchenwald (Juden aus Polen, Ungarn, Belgien).",Abgezäuntes Wirtschaftsgebäude im Gelände der ehemaligen Kaserne Zittau.524 KZ-Außenlager in Sachsen,Herstellung von Flugzeugtriebwerken und Munition.,"158, nur 70 dokumentiert (meist Männer). Sieben Jüdinnen und 25 Männer sind im Urnenhain des Zittauer Krematorium beigesetzt.",,"Teils Fluchten, nachdem die SS das Lager am 6. Mai verließ.",Am 7. Februar 1945 wurden 160 Kranke aus dem Außenlager Hartmannsdorf (Miloszów) in Zittau zurückgelassen. Am 12. Februar 1945 kamen100 Häftlinge vom AL Görlitz.,Es wurden einige Häftlinge in umliegende Außenlager gebracht. Einige Frauen wurden am 30. März 1945 evakuiert. Der genaue Verlauf der Märsche und die Anzahl der evakuierten Häftlinge sind nicht bekannt.,Keine bekannt,Nach der teilweisen Schließung des Frauenlagers wurde das Gelände bis Kriegsende als Durchgangslager für Evakuierungs- märsche der AL aus Auschwitz und Groß-Rosen genutzt.,"Gräfe/Töpfer geben an, dass sich im Dachgeschoss des Lagers eine Entbindungsstation befand. Dorthin wurden auch Frauen aus anderen Lagern zur Entbindung gebracht. Meist wurden die Frauen mit ihren Neugeborenen in das AL Kratzau I (Niederschlesien) des KZ Groß-Rosen gebracht. Dort ließ die Kommando-Führerin die Babys vergiften. Neben dem KZ-Außenlager bestand auf demselben Gelände ein Arbeitskommando des Gerichtsgefängnisses Zittau. Am 4. Februar traf ein Teil des Kommandostabes des KZ Groß- Rosen in Zittau ein, dabei war auch der Arzt und Mörder von Auschwitz, Josef Mengele. Nach der Befreiung kamen 200 Häftlinge in ein Krankenhaus. Todesfälle wurden noch bis Oktober 1945 registriert. 21 ungarische Jüdinnen und zwei Männer bekamen am 18. Mai vom Vollzugsausschuss der sowjetischen Kommandantur Entlassungsscheine.",,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Zschachwitz (97).,"Zschachwitz (gehört heute zu Dresden), Mühlenbau und Industrie AG, Killingerstr. (heute Fritz-Schreiter-Str.).",MIAG.,13. Oktober 1944 bis 14. April 1945.,1.000 männliche Häftlinge (auch Kinder und Jugendliche) aus mehreren europäischen Ländern. Verzeichnis der KZ-Außenlager 525,"Über der Verladehalle auf nackten, mehrstöckigen Pritschen und unter ständigem Produktionslärm.",In 12-Stunden-Schichten wurden Getriebeteile für Panzer gefertigt.,101.,"Am 26. Februar 89 Häftlinge nach Flossenbürg, darunter wahr- scheinlich Verletzte.",42.,,Ab 14. April 1945 in mehreren Etappen.,"Gegen den Kommandanten Kübler kam es nach dem Krieg zu zwei Verfahren wegen der im KZ Flossenbürg verübten Verbre- chen, in deren Ergebnis er fünf Jahre Haft erhielt. Einige Kapos wurden wegen Vergehen in anderen Außenlagern ebenfalls verurteilt. Die Ermittlungen zu Zschachwitz wurden wegen Verjährung eingestellt.",,"Bei den Angriffen am 13. und 14. Februar 1945 wurde der Betrieb schwer getroffen, unter anderem zerstörten Brandbom- ben das Dach der Verladehalle. Für die etwa 900 Häftlinge gab es nur eine schmale Stiege zur Flucht. In der ausbrechenden Panik kamen mehrere Häftlinge zu Tode. Mindestens 32 Häftlinge nutzten das Chaos danach zur Flucht. Mehrere wurden wieder aufgegriffen, einige erschossen. Andere kamen mit dem Leben und einigen Tagen Arrest im Keller ohne Essen und Trinken davon.",,,"Die letzten Häftlinge beseitigten am 26. April die Spuren des Lagers. Stacheldrahtzaun und Wachtürme wurden abgerissen, die KZ-Kleidung und belastende Akten verbrannt. Die Häftlinge mussten einen Todesmarsch antreten, der noch viele Opfer forderte. Ein Kapo soll unterwegs einen gehunfähigen alten Mann mit dem Spaten erschlagen haben. Nach vier Tagesmärschen erreichten sie Leitmeritz, wo sie im Mai 1945 befreit wurden.","Am 14. April sollten 200 Häftlinge per Bahn nach Leitmeritz verlagert werden. Sie machten eine Irrfahrt durch das Osterz gebirge und Nordböhmen, konnten schließlich aber bei Kralupy und Roztoki u Prahy nordwestlich von Prag fliehen. Einige verstarben, anderen half ihnen die tschechische Bevölkerung zu überleben. Anfang Mai wurden sie befreit.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Zschopau (98).,"DKW-Werk, Marienberger Straße 189.","Auto Union AG‚ Tochtergesellschaft Mitteldeutsche Motoren- werke Taucha (MIMO)‚ Vorstandsvorsitzender Dr. William Werner, Wehrwirtschaftsführer, Träger des Ritterkreuzes des Kriegsverdienstkreuzes.",21. November 1944 bis 15. April 1945.,"21. April 1944 Transport aus Auschwitz-Birkenau 500 Frauen und Mädchen, davon 15 von 1928–1930 geboren. Es waren alles Jüdinnen aus verschiedenen Ländern, teils aus dem KZ Plaszów.","Dachgeschoß der obersten Werkhalle, Nr. 23, von den darunter- liegenden Produktionsräumen durch Stacheldraht abgesperrt. Bei Ankunft des Transports war die Unterkunft noch nicht eingerich- tet, dafür gab es ein Ausweichquartier teils in der Volksschule im Stadtzentrum‚ teils in einer vier Kilometer entfernten stillgeleg- ten Papierfabrik in Wilischthal.",Bearbeitung von Metallteilen mittels Fräs-‚ Bohr-‚ Dreh- und Schleifmaschinen für Flugzeugmotoren und andere Flugzeugteile (Räder).,Fünf Frauen und ein neugeborenes Kind.,Eine Frau ins KZ Ravensbrück (wahrscheinlich schwanger).,"Während der Lagerexistenz keine, aber mindestens 16–17 während der Evakuierung. Vier von ihnen sind nach Zschopau zurückgegangen und wurden hier versteckt und gerettet. Zwei gingen nach Marienberg und wurden dort gerettet. Eine Retterin, eine ausgebombte Hamburgerin, wurde als „Gerechte unter den Völkern“ von Yad Vashem ausgezeichnet.",,"Mit den am Vortag aus Wilischthal eingetroffenen Frauen marschierten am 15. April 1945 die ,Zschopauer<U+02BB> Frauen nach Wilischthal zurück und wurden dort in einen Zug verladen, der über Annaberg nach Theresienstadt (Terezín) fuhr.",Keine Strafverfolgung des Lagerführers und der Oberaufseherin; eine SS-Aufseherin wurde 1948 zu einem Jahr und drei Monaten verurteilt. Verzeichnis der KZ-Außenlager 527,,,"Ankunft 21. oder 22. April 1945, Befreiung am 9. Mai 1945. 456 Frauen des Lagers Zschopau wurden in Theresienstadt regi striert.",,Sechs Frauen aus dem Zschopauer Lager verstarben noch nach ihrer Befreiung in Theresienstadt.,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Zwickau (99).,"Zwickau, Crimmitschauer Straße.","Auto-Union AG Chemnitz, Werk Horch Zwickau.",30. August 1944 bis 13. April 1945.,"Insgesamt 1.167 männliche Häftlinge aus 15 Nationen, darunter 60 ungarische Juden.",Barackenlager mit fünf Baracken auf beziehungsweise neben dem Betriebsgelände.,"Herstellung von Fahrzeugen, Flugzeugen und Torpedos.",Mindestens 280 Häftlinge; 156 Häftlinge wurden nachweislich in Zwickau verbrannt. Nach dem Krieg wurden in Zwickau-Eckers- bach 65 Leichen gefunden. Im August 1945 wurden Urnen von 320 Opfern der Außenlager Zwickau und Mülsen St. Micheln im Stadtpark Zwickau beigesetzt.,,"Mehrere Fluchtversuche; im Februar 1945 wurden 23 Häftlinge erschossen, als sie versuchten, durch einen Tunnel zu flüchten.",,"Am 13. April 1945, nachmittags, wurden die 688 Häftlinge evakuiert. Zunächst marschierten die Häftlinge Richtung Lengen- feld, um mit dem dortigen Lager zu marschieren. Die Kranken wurden auf Lastwagen abtransportiert.","Der Lagerführer, SS-Unterscharführer Wilhelm Müsch, wurde 1956 vom Schwurgericht Tier wegen Totschlags zu einer mehrjährigen Haftstrafe verurteilt. Ein zweites Verfahren wurde 1960 wegen Verhandlungsunfähigkeit eingestellt.",,,,,"In Planitz wurde ein Häftling getötet. Dabei wurden in Wernes- grün ein Häftling, in Stützengrün, Ortsteil Neulehn, acht Häftlinge erschossen.","Zwickau-Planitz, Übernachtung im „Waldhaus“ in Ebersbrunn. Am 14. April 1945 weiter über Grün, OT von Lengenfeld, – Rode- wisch – Wernesgrün – Rothekirchen-Stützengrün – Neulehn – Schönheide; Anschluss an die dort lagernden Häftlinge aus Lengenfeld, Schönheide und Plauen, Weitermarsch wie AL Lengenfeld.528 KZ-Außenlager außerhalb Sachsens – Märsche",,,,,,,,,,,,
Außenlager des KZ Flossenbürg,Zwickau (99).,"Zwickau, Crimmitschauer Straße.","Auto-Union AG Chemnitz, Werk Horch Zwickau.",30. August 1944 bis 13. April 1945.,"Insgesamt 1.167 männliche Häftlinge aus 15 Nationen, darunter 60 ungarische Juden.",Barackenlager mit fünf Baracken auf beziehungsweise neben dem Betriebsgelände.,"Herstellung von Fahrzeugen, Flugzeugen und Torpedos.",Mindestens 280 Häftlinge; 156 Häftlinge wurden nachweislich in Zwickau verbrannt. Nach dem Krieg wurden in Zwickau-Eckers- bach 65 Leichen gefunden. Im August 1945 wurden Urnen von 320 Opfern der Außenlager Zwickau und Mülsen St. Micheln im Stadtpark Zwickau beigesetzt.,,"Mehrere Fluchtversuche; im Februar 1945 wurden 23 Häftlinge erschossen, als sie versuchten, durch einen Tunnel zu flüchten.",,"Am 13. April 1945, nachmittags, wurden die 688 Häftlinge evakuiert. Zunächst marschierten die Häftlinge Richtung Lengen- feld, um mit dem dortigen Lager zu marschieren. Die Kranken wurden auf Lastwagen abtransportiert.","Der Lagerführer, SS-Unterscharführer Wilhelm Müsch, wurde 1956 vom Schwurgericht Tier wegen Totschlags zu einer mehrjährigen Haftstrafe verurteilt. Ein zweites Verfahren wurde 1960 wegen Verhandlungsunfähigkeit eingestellt.",,,,,"In Planitz wurde ein Häftling getötet. Dabei wurden in Wernes- grün ein Häftling, in Stützengrün, Ortsteil Neulehn, acht Häftlinge erschossen.","Zwickau-Planitz, Übernachtung im „Waldhaus“ in Ebersbrunn. Am 14. April 1945 weiter über Grün, OT von Lengenfeld, – Rode- wisch – Wernesgrün – Rothekirchen-Stützengrün – Neulehn – Schönheide; Anschluss an die dort lagernden Häftlinge aus Lengenfeld, Schönheide und Plauen, Weitermarsch wie AL Lengenfeld.528 KZ-Außenlager außerhalb Sachsens – Märsche",,,,,,,,,,,,
